rent,area,type,bathrooms,furnished_type,localityclass,city
11000,565,1,2,Unfurnished,class2,Mumbai
62000,450,2,2,Furnished,class1,Mumbai
65000,600,2,2,Unfurnished,class1,Mumbai
9000,655,1,1,Unfurnished,class3,Mumbai
90000,850,2,2,Furnished,class1,Mumbai
15000,1100,2,1,Semi-Furnished,class3,Mumbai
18000,1100,3,3,Semi-Furnished,class2,Mumbai
10500,430,1,1,Unfurnished,class2,Mumbai
11000,495,1,2,Semi-Furnished,class2,Mumbai
14000,765,2,2,Furnished,class2,Mumbai
80000,1605,3,4,Semi-Furnished,class2,Mumbai
20000,1300,3,1,Furnished,class2,Mumbai
12000,515,1,1,Unfurnished,class2,Mumbai
50000,550,1,1,Unfurnished,class1,Mumbai
9500,615,1,1,Unfurnished,class2,Mumbai
11000,565,1,2,Unfurnished,class2,Mumbai
62000,450,2,2,Furnished,class1,Mumbai
24000,1280,2,2,Unfurnished,class2,Mumbai
72500,800,2,2,Furnished,class1,Mumbai
29500,525,1,2,Semi-Furnished,class1,Mumbai
47000,1000,2,2,Furnished,class2,Mumbai
21000,400,1,1,Semi-Furnished,class1,Mumbai
50000,1102,2,2,Unfurnished,class2,Mumbai
27000,450,1,2,Semi-Furnished,class1,Mumbai
30000,450,1,2,Semi-Furnished,class1,Mumbai
65000,450,1,1,Semi-Furnished,class1,Mumbai
75000,1050,2,2,Furnished,class1,Mumbai
82000,1750,3,3,Unfurnished,class2,Mumbai
65000,450,1,1,Semi-Furnished,class1,Mumbai
75000,1050,2,2,Furnished,class1,Mumbai
82000,1750,3,3,Unfurnished,class2,Mumbai
90000,1850,3,2,Semi-Furnished,class2,Mumbai
78000,1350,2,2,Furnished,class1,Mumbai
56000,1100,2,2,Unfurnished,class1,Mumbai
80000,1800,3,3,Semi-Furnished,class2,Mumbai
60000,1200,2,2,Semi-Furnished,class2,Mumbai
85000,750,2,2,Semi-Furnished,class1,Mumbai
70000,1200,2,2,Semi-Furnished,class1,Mumbai
65000,1350,2,2,Semi-Furnished,class2,Mumbai
16000,989,2,2,Unfurnished,class2,Mumbai
35000,927,2,2,Semi-Furnished,class2,Mumbai
14000,1080,2,2,Semi-Furnished,class3,Mumbai
82000,1533,3,3,Semi-Furnished,class1,Mumbai
19000,500,1,1,Semi-Furnished,class2,Mumbai
15000,950,2,2,Unfurnished,class2,Mumbai
27000,650,1,2,Semi-Furnished,class2,Mumbai
45000,1100,2,2,Semi-Furnished,class2,Mumbai
85500,1900,3,3,Semi-Furnished,class2,Mumbai
89500,1700,3,3,Semi-Furnished,class1,Mumbai
52000,1300,3,2,Semi-Furnished,class2,Mumbai
30000,850,2,2,Semi-Furnished,class2,Mumbai
30000,600,1,2,Semi-Furnished,class2,Mumbai
18500,600,1,1,Semi-Furnished,class2,Mumbai
29500,700,1,2,Furnished,class2,Mumbai
12000,650,1,1,Unfurnished,class2,Mumbai
85000,1216,2,2,Semi-Furnished,class1,Mumbai
13000,650,1,2,Unfurnished,class2,Mumbai
17000,640,2,2,Unfurnished,class2,Mumbai
32000,900,2,2,Unfurnished,class2,Mumbai
22000,572,2,2,Unfurnished,class2,Mumbai
35000,675,2,2,Unfurnished,class1,Mumbai
36000,670,2,2,Unfurnished,class1,Mumbai
30000,772,2,2,Unfurnished,class2,Mumbai
35600,835,2,2,Unfurnished,class2,Mumbai
45000,1002,2,2,Unfurnished,class2,Mumbai
32000,900,2,2,Unfurnished,class2,Mumbai
22000,572,2,2,Unfurnished,class2,Mumbai
35000,675,2,2,Unfurnished,class1,Mumbai
36000,670,2,2,Unfurnished,class1,Mumbai
30000,772,2,2,Unfurnished,class2,Mumbai
35600,835,2,2,Unfurnished,class2,Mumbai
45000,1002,2,2,Unfurnished,class2,Mumbai
22000,572,1,1,Unfurnished,class2,Mumbai
41000,900,2,2,Unfurnished,class2,Mumbai
31500,668,2,2,Unfurnished,class2,Mumbai
33000,900,3,2,Unfurnished,class2,Mumbai
62000,1350,3,2,Unfurnished,class2,Mumbai
32000,800,2,2,Unfurnished,class2,Mumbai
65000,1000,3,2,Unfurnished,class1,Mumbai
43000,1000,2,2,Unfurnished,class2,Mumbai
32000,800,2,2,Unfurnished,class2,Mumbai
32000,772,2,2,Unfurnished,class2,Mumbai
31000,772,2,2,Unfurnished,class2,Mumbai
48000,1280,3,2,Unfurnished,class2,Mumbai
35500,668,2,2,Unfurnished,class1,Mumbai
21500,572,1,1,Unfurnished,class2,Mumbai
33500,675,2,2,Unfurnished,class2,Mumbai
65000,1268,3,2,Unfurnished,class1,Mumbai
31000,772,2,2,Unfurnished,class2,Mumbai
47000,950,2,2,Furnished,class2,Mumbai
70000,1250,2,2,Semi-Furnished,class1,Mumbai
46501,965,2,2,Furnished,class2,Mumbai
46501,965,2,2,Furnished,class2,Mumbai
80000,1475,3,3,Semi-Furnished,class1,Mumbai
70000,1250,2,2,Semi-Furnished,class1,Mumbai
47000,950,2,2,Furnished,class2,Mumbai
12000,1000,3,2,Semi-Furnished,class3,Mumbai
18000,1086,2,2,Unfurnished,class2,Mumbai
11500,1086,2,2,Semi-Furnished,class3,Mumbai
12700,1100,2,2,Semi-Furnished,class3,Mumbai
25000,1800,3,3,Semi-Furnished,class3,Mumbai
10700,950,2,2,Semi-Furnished,class3,Mumbai
8000,720,1,1,Semi-Furnished,class3,Mumbai
26000,1900,3,3,Semi-Furnished,class3,Mumbai
12000,1000,3,2,Semi-Furnished,class3,Mumbai
18000,1086,2,2,Unfurnished,class2,Mumbai
11500,1086,2,2,Semi-Furnished,class3,Mumbai
12700,1100,2,2,Semi-Furnished,class3,Mumbai
29000,1900,3,3,Semi-Furnished,class2,Mumbai
28000,1900,3,2,Semi-Furnished,class3,Mumbai
27000,1900,3,3,Semi-Furnished,class3,Mumbai
30000,1900,3,2,Semi-Furnished,class2,Mumbai
25000,1800,3,3,Semi-Furnished,class3,Mumbai
10700,950,2,2,Semi-Furnished,class3,Mumbai
8000,720,1,1,Semi-Furnished,class3,Mumbai
26000,1900,3,3,Semi-Furnished,class3,Mumbai
10000,1000,2,2,Semi-Furnished,class3,Mumbai
11000,1100,3,2,Semi-Furnished,class3,Mumbai
80000,1475,3,3,Semi-Furnished,class1,Mumbai
27000,595,1,1,Unfurnished,class2,Mumbai
40000,810,2,1,Furnished,class2,Mumbai
52000,1100,2,2,Furnished,class2,Mumbai
65000,1100,3,3,Furnished,class1,Mumbai
32000,595,1,1,Semi-Furnished,class1,Mumbai
30000,590,1,1,Furnished,class1,Mumbai
17000,300,1,1,Unfurnished,class1,Mumbai
75000,970,2,2,Furnished,class1,Mumbai
52000,850,2,2,Furnished,class1,Mumbai
29000,575,1,1,Unfurnished,class1,Mumbai
35000,600,1,2,Furnished,class1,Mumbai
76000,1550,3,3,Unfurnished,class2,Mumbai
69000,1670,2,3,Semi-Furnished,class2,Mumbai
24000,770,1,2,Semi-Furnished,class2,Mumbai
42000,1280,2,2,Semi-Furnished,class2,Mumbai
30000,705,1,1,Semi-Furnished,class2,Mumbai
